segment_id,file_id,segment_index,segment_code_type,segment_code_number,segment_label_id,file_label_id,beginning_index,segment_length,binary_data_path,original_path
587,12,0,C,1,32,6,987856,524288,00000012.npy,/Volumes/ArcData/V3_raw_data/transient_negative_test/20250402_171335_200V_2325mA_experiment_2_24
588,12,0,L,1,32,6,463568,524288,00000012.npy,/Volumes/ArcData/V3_raw_data/transient_negative_test/20250402_171335_200V_2325mA_experiment_2_24
592,12,0,C,1,32,6,1217232,65536,00000012.npy,/Volumes/ArcData/V3_raw_data/transient_negative_test/20250402_171335_200V_2325mA_experiment_2_24
606,12,0,R,2,32,6,1348304,65536,00000012.npy,/Volumes/ArcData/V3_raw_data/transient_negative_test/20250402_171335_200V_2325mA_experiment_2_24
612,12,0,R,8,32,6,1741520,65536,00000012.npy,/Volumes/ArcData/V3_raw_data/transient_negative_test/20250402_171335_200V_2325mA_experiment_2_24
613,12,0,R,9,32,6,1807056,65536,00000012.npy,/Volumes/ArcData/V3_raw_data/transient_negative_test/20250402_171335_200V_2325mA_experiment_2_24
617,12,0,C,1,32,6,1245904,8192,00000012.npy,/Volumes/ArcData/V3_raw_data/transient_negative_test/20250402_171335_200V_2325mA_experiment_2_24
641,12,0,R,12,32,6,1344208,8192,00000012.npy,/Volumes/ArcData/V3_raw_data/transient_negative_test/20250402_171335_200V_2325mA_experiment_2_24
1825,35,0,C,1,15,5,1007679,524288,00000035.npy,/Volumes/ArcData/V3_raw_data/transient_negative_test/20250326_203809_300V_3488mA_experiment_10_109
1829,35,0,C,1,15,5,1237055,65536,00000035.npy,/Volumes/ArcData/V3_raw_data/transient_negative_test/20250326_203809_300V_3488mA_experiment_10_109
1846,35,0,R,5,32,5,1564735,65536,00000035.npy,/Volumes/ArcData/V3_raw_data/transient_negative_test/20250326_203809_300V_3488mA_experiment_10_109
1853,35,0,C,1,15,5,1265727,8192,00000035.npy,/Volumes/ArcData/V3_raw_data/transient_negative_test/20250326_203809_300V_3488mA_experiment_10_109
1858,35,0,L,5,32,5,1224767,8192,00000035.npy,/Volumes/ArcData/V3_raw_data/transient_negative_test/20250326_203809_300V_3488mA_experiment_10_109
1865,35,0,L,12,32,5,1167423,8192,00000035.npy,/Volumes/ArcData/V3_raw_data/transient_negative_test/20250326_203809_300V_3488mA_experiment_10_109
1868,35,0,R,3,32,5,1290303,8192,00000035.npy,/Volumes/ArcData/V3_raw_data/transient_negative_test/20250326_203809_300V_3488mA_experiment_10_109
1871,35,0,R,6,32,5,1314879,8192,00000035.npy,/Volumes/ArcData/V3_raw_data/transient_negative_test/20250326_203809_300V_3488mA_experiment_10_109
1872,35,0,R,7,32,5,1323071,8192,00000035.npy,/Volumes/ArcData/V3_raw_data/transient_negative_test/20250326_203809_300V_3488mA_experiment_10_109
1873,35,0,R,8,32,5,1331263,8192,00000035.npy,/Volumes/ArcData/V3_raw_data/transient_negative_test/20250326_203809_300V_3488mA_experiment_10_109
2304,44,0,C,1,32,6,987856,524288,00000044.npy,/Volumes/ArcData/V3_raw_data/transient_negative_test/20250326_202513_250V_3654mA_experiment_10_87
2305,44,0,L,1,32,6,463568,524288,00000044.npy,/Volumes/ArcData/V3_raw_data/transient_negative_test/20250326_202513_250V_3654mA_experiment_10_87
2309,44,0,C,1,32,6,1217232,65536,00000044.npy,/Volumes/ArcData/V3_raw_data/transient_negative_test/20250326_202513_250V_3654mA_experiment_10_87
2311,44,0,L,2,32,6,1086160,65536,00000044.npy,/Volumes/ArcData/V3_raw_data/transient_negative_test/20250326_202513_250V_3654mA_experiment_10_87
2326,44,0,R,5,32,6,1544912,65536,00000044.npy,/Volumes/ArcData/V3_raw_data/transient_negative_test/20250326_202513_250V_3654mA_experiment_10_87
2334,44,0,C,1,32,6,1245904,8192,00000044.npy,/Volumes/ArcData/V3_raw_data/transient_negative_test/20250326_202513_250V_3654mA_experiment_10_87
2338,44,0,L,4,32,6,1213136,8192,00000044.npy,/Volumes/ArcData/V3_raw_data/transient_negative_test/20250326_202513_250V_3654mA_experiment_10_87
2342,44,0,L,8,32,6,1180368,8192,00000044.npy,/Volumes/ArcData/V3_raw_data/transient_negative_test/20250326_202513_250V_3654mA_experiment_10_87
2345,44,0,L,11,32,6,1155792,8192,00000044.npy,/Volumes/ArcData/V3_raw_data/transient_negative_test/20250326_202513_250V_3654mA_experiment_10_87
2352,44,0,R,6,32,6,1295056,8192,00000044.npy,/Volumes/ArcData/V3_raw_data/transient_negative_test/20250326_202513_250V_3654mA_experiment_10_87
2736,52,0,C,1,15,5,1036001,524288,00000052.npy,/Volumes/ArcData/V3_raw_data/transient_negative_test/20250326_200341_250V_2906mA_experiment_7_51
2738,52,0,L,2,32,5,0,524288,00000052.npy,/Volumes/ArcData/V3_raw_data/transient_negative_test/20250326_200341_250V_2906mA_experiment_7_51
2740,52,0,C,1,15,5,1265377,65536,00000052.npy,/Volumes/ArcData/V3_raw_data/transient_negative_test/20250326_200341_250V_2906mA_experiment_7_51
2747,52,0,L,7,32,5,806625,65536,00000052.npy,/Volumes/ArcData/V3_raw_data/transient_negative_test/20250326_200341_250V_2906mA_experiment_7_51
2759,52,0,R,7,32,5,1724129,65536,00000052.npy,/Volumes/ArcData/V3_raw_data/transient_negative_test/20250326_200341_250V_2906mA_experiment_7_51
2760,52,0,R,8,32,5,1789665,65536,00000052.npy,/Volumes/ArcData/V3_raw_data/transient_negative_test/20250326_200341_250V_2906mA_experiment_7_51
2763,52,0,C,1,15,5,1294049,8192,00000052.npy,/Volumes/ArcData/V3_raw_data/transient_negative_test/20250326_200341_250V_2906mA_experiment_7_51
2772,52,0,L,9,32,5,1220321,8192,00000052.npy,/Volumes/ArcData/V3_raw_data/transient_negative_test/20250326_200341_250V_2906mA_experiment_7_51
2774,52,0,L,11,32,5,1203937,8192,00000052.npy,/Volumes/ArcData/V3_raw_data/transient_negative_test/20250326_200341_250V_2906mA_experiment_7_51
2782,52,0,R,7,32,5,1351393,8192,00000052.npy,/Volumes/ArcData/V3_raw_data/transient_negative_test/20250326_200341_250V_2906mA_experiment_7_51
2783,52,0,R,8,32,5,1359585,8192,00000052.npy,/Volumes/ArcData/V3_raw_data/transient_negative_test/20250326_200341_250V_2906mA_experiment_7_51
3219,62,0,C,1,15,5,1261598,524288,00000062.npy,/Volumes/ArcData/V3_raw_data/transient_negative_test/20250404_173556_300V_3488mA_experiment_6_138
3221,62,0,L,2,32,5,213022,524288,00000062.npy,/Volumes/ArcData/V3_raw_data/transient_negative_test/20250404_173556_300V_3488mA_experiment_6_138
3223,62,0,C,1,15,5,1490974,65536,00000062.npy,/Volumes/ArcData/V3_raw_data/transient_negative_test/20250404_173556_300V_3488mA_experiment_6_138
3236,62,0,R,1,32,5,1556510,65536,00000062.npy,/Volumes/ArcData/V3_raw_data/transient_negative_test/20250404_173556_300V_3488mA_experiment_6_138
3245,62,0,R,10,32,5,2146334,65536,00000062.npy,/Volumes/ArcData/V3_raw_data/transient_negative_test/20250404_173556_300V_3488mA_experiment_6_138
3248,62,0,C,1,15,5,1519646,8192,00000062.npy,/Volumes/ArcData/V3_raw_data/transient_negative_test/20250404_173556_300V_3488mA_experiment_6_138
3253,62,0,L,5,32,5,1478686,8192,00000062.npy,/Volumes/ArcData/V3_raw_data/transient_negative_test/20250404_173556_300V_3488mA_experiment_6_138
3258,62,0,L,10,32,5,1437726,8192,00000062.npy,/Volumes/ArcData/V3_raw_data/transient_negative_test/20250404_173556_300V_3488mA_experiment_6_138
3264,62,0,R,4,32,5,1552414,8192,00000062.npy,/Volumes/ArcData/V3_raw_data/transient_negative_test/20250404_173556_300V_3488mA_experiment_6_138
3272,62,0,R,12,32,5,1617950,8192,00000062.npy,/Volumes/ArcData/V3_raw_data/transient_negative_test/20250404_173556_300V_3488mA_experiment_6_138
3757,72,0,C,1,15,5,1253470,524288,00000072.npy,/Volumes/ArcData/V3_raw_data/transient_negative_test/20250328_161929_250V_3654mA_experiment_4_92
3760,72,0,R,1,32,5,1777758,524288,00000072.npy,/Volumes/ArcData/V3_raw_data/transient_negative_test/20250328_161929_250V_3654mA_experiment_4_92
3761,72,0,C,1,15,5,1482846,65536,00000072.npy,/Volumes/ArcData/V3_raw_data/transient_negative_test/20250328_161929_250V_3654mA_experiment_4_92
3777,72,0,R,4,32,5,1744990,65536,00000072.npy,/Volumes/ArcData/V3_raw_data/transient_negative_test/20250328_161929_250V_3654mA_experiment_4_92
3781,72,0,R,8,32,5,2007134,65536,00000072.npy,/Volumes/ArcData/V3_raw_data/transient_negative_test/20250328_161929_250V_3654mA_experiment_4_92
